# pdf: nNNPDF10_nlo_as_0118_Fe56
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.001000 	   2.261069 	   9.230489 
   0.001035 	   2.287783 	   9.010525 
   0.001072 	   2.313525 	   8.795592 
   0.001109 	   2.338351 	   8.585435 
   0.001148 	   2.362319 	   8.379802 
   0.001189 	   2.385486 	   8.178447 
   0.001230 	   2.407911 	   7.981128 
   0.001274 	   2.429650 	   7.787609 
   0.001318 	   2.450761 	   7.597658 
   0.001365 	   2.471300 	   7.411048 
   0.001413 	   2.491270 	   7.227783 
   0.001462 	   2.510462 	   7.048687 
   0.001514 	   2.528882 	   6.873693 
   0.001567 	   2.546569 	   6.702609 
   0.001622 	   2.563560 	   6.535247 
   0.001679 	   2.579893 	   6.371425 
   0.001738 	   2.595606 	   6.210961 
   0.001799 	   2.610737 	   6.053679 
   0.001862 	   2.625323 	   5.899405 
   0.001928 	   2.639402 	   5.747969 
   0.001995 	   2.653012 	   5.599206 
   0.002065 	   2.666121 	   5.453281 
   0.002138 	   2.678611 	   5.310727 
   0.002213 	   2.690500 	   5.171420 
   0.002291 	   2.701812 	   5.035222 
   0.002371 	   2.712569 	   4.901996 
   0.002455 	   2.722795 	   4.771605 
   0.002541 	   2.732512 	   4.643920 
   0.002630 	   2.741744 	   4.518809 
   0.002723 	   2.750512 	   4.396147 
   0.002818 	   2.758841 	   4.275810 
   0.002917 	   2.766753 	   4.157677 
   0.003020 	   2.774200 	   4.042031 
   0.003126 	   2.781134 	   3.929132 
   0.003236 	   2.787571 	   3.818875 
   0.003350 	   2.793522 	   3.711159 
   0.003467 	   2.799003 	   3.605884 
   0.003589 	   2.804026 	   3.502952 
   0.003715 	   2.808606 	   3.402269 
   0.003846 	   2.812756 	   3.303741 
   0.003981 	   2.816490 	   3.207277 
   0.004121 	   2.819822 	   3.112789 
