# pdf: nNNPDF10_nlo_as_0118_Cu64
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.001000 	   4.143054 	   3.003651 
   0.001035 	   4.118412 	   2.939506 
   0.001072 	   4.093993 	   2.877094 
   0.001109 	   4.069786 	   2.816315 
   0.001148 	   4.045782 	   2.757073 
   0.001189 	   4.021968 	   2.699273 
   0.001230 	   3.998336 	   2.642822 
   0.001274 	   3.974874 	   2.587629 
   0.001318 	   3.951571 	   2.533605 
   0.001365 	   3.928418 	   2.480662 
   0.001413 	   3.905414 	   2.428801 
   0.001462 	   3.882602 	   2.378329 
   0.001514 	   3.859981 	   2.329219 
   0.001567 	   3.837540 	   2.281398 
   0.001622 	   3.815272 	   2.234797 
   0.001679 	   3.793167 	   2.189344 
   0.001738 	   3.771216 	   2.144972 
   0.001799 	   3.749410 	   2.101614 
   0.001862 	   3.727741 	   2.059204 
   0.001928 	   3.706200 	   2.017679 
   0.001995 	   3.684777 	   1.976978 
   0.002065 	   3.663484 	   1.937155 
   0.002138 	   3.642351 	   1.898399 
   0.002213 	   3.621372 	   1.860662 
   0.002291 	   3.600540 	   1.823892 
   0.002371 	   3.579846 	   1.788038 
   0.002455 	   3.559282 	   1.753049 
   0.002541 	   3.538841 	   1.718877 
   0.002630 	   3.518515 	   1.685472 
   0.002723 	   3.498295 	   1.652788 
   0.002818 	   3.478175 	   1.620780 
   0.002917 	   3.458145 	   1.589402 
   0.003020 	   3.438228 	   1.558748 
   0.003126 	   3.418442 	   1.528901 
   0.003236 	   3.398779 	   1.499821 
   0.003350 	   3.379233 	   1.471469 
   0.003467 	   3.359794 	   1.443807 
   0.003589 	   3.340457 	   1.416799 
   0.003715 	   3.321213 	   1.390409 
   0.003846 	   3.302055 	   1.364600 
   0.003981 	   3.282975 	   1.339338 
   0.004121 	   3.263966 	   1.314589 
   0.004266 	   3.245023 	   1.290326 
   0.004416 	   3.226174 	   1.266646 
   0.004571 	   3.207429 	   1.243570 
   0.004732 	   3.188778 	   1.221067 
   0.004898 	   3.170215 	   1.199109 
   0.005070 	   3.151732 	   1.177666 
   0.005248 	   3.133320 	   1.156710 
   0.005433 	   3.114972 	   1.136213 
   0.005623 	   3.096680 	   1.116147 
   0.005821 	   3.078437 	   1.096486 
   0.006026 	   3.060234 	   1.077203 
   0.006237 	   3.042070 	   1.058287 
   0.006457 	   3.023982 	   1.039817 
   0.006683 	   3.005969 	   1.021788 
   0.006918 	   2.988022 	   1.004175 
   0.007161 	   2.970133 	   0.986956 
   0.007413 	   2.952293 	   0.970106 
   0.007674 	   2.934493 	   0.953603 
   0.007943 	   2.916724 	   0.937423 
   0.008222 	   2.898977 	   0.921544 
   0.008511 	   2.881244 	   0.905944 
   0.008810 	   2.863515 	   0.890600 
   0.009120 	   2.845799 	   0.875517 
   0.009441 	   2.828135 	   0.860749 
   0.009772 	   2.810515 	   0.846282 
   0.010116 	   2.792930 	   0.832096 
   0.010471 	   2.775369 	   0.818172 
   0.010839 	   2.757820 	   0.804491 
   0.011220 	   2.740275 	   0.791034 
   0.011614 	   2.722721 	   0.777783 
   0.012023 	   2.705150 	   0.764718 
   0.012445 	   2.687549 	   0.751820 
   0.012882 	   2.669910 	   0.739070 
   0.013335 	   2.652256 	   0.726484 
   0.013804 	   2.634622 	   0.714090 
   0.014289 	   2.616996 	   0.701876 
   0.014791 	   2.599366 	   0.689829 
   0.015311 	   2.581719 	   0.677934 
   0.015849 	   2.564042 	   0.666179 
   0.016406 	   2.546323 	   0.654550 
   0.016982 	   2.528550 	   0.643032 
   0.017579 	   2.510710 	   0.631611 
   0.018197 	   2.492790 	   0.620273 
   0.018836 	   2.474779 	   0.609004 
   0.019498 	   2.456725 	   0.597816 
   0.020184 	   2.438648 	   0.586721 
   0.020893 	   2.420534 	   0.575715 
   0.021627 	   2.402368 	   0.564794 
   0.022387 	   2.384137 	   0.553955 
   0.023174 	   2.365826 	   0.543192 
   0.023988 	   2.347420 	   0.532500 
   0.024831 	   2.328906 	   0.521873 
   0.025704 	   2.310268 	   0.511304 
   0.026607 	   2.291493 	   0.500785 
   0.027542 	   2.272574 	   0.490306 
   0.028510 	   2.253568 	   0.479855 
   0.029512 	   2.234482 	   0.469441 
   0.030549 	   2.215303 	   0.459078 
   0.031623 	   2.196018 	   0.448778 
   0.032734 	   2.176613 	   0.438553 
   0.033884 	   2.157075 	   0.428411 
   0.035075 	   2.137392 	   0.418363 
   0.036308 	   2.117550 	   0.408413 
   0.037584 	   2.097536 	   0.398566 
   0.038905 	   2.077337 	   0.388824 
   0.040272 	   2.056962 	   0.379174 
   0.041687 	   2.036489 	   0.369578 
   0.043152 	   2.015905 	   0.360070 
   0.044668 	   1.995187 	   0.350684 
   0.046238 	   1.974312 	   0.341449 
   0.047863 	   1.953258 	   0.332388 
   0.049545 	   1.932003 	   0.323516 
   0.051286 	   1.910522 	   0.314839 
   0.053088 	   1.888795 	   0.306358 
   0.054954 	   1.866797 	   0.298059 
   0.056885 	   1.844507 	   0.289924 
   0.058884 	   1.821886 	   0.281866 
   0.060954 	   1.798918 	   0.273793 
   0.063096 	   1.775643 	   0.265759 
   0.065313 	   1.752099 	   0.257831 
   0.067608 	   1.728327 	   0.250079 
   0.069984 	   1.704366 	   0.242580 
   0.072444 	   1.680257 	   0.235411 
   0.074989 	   1.656039 	   0.228655 
   0.077625 	   1.631751 	   0.222393 
   0.080353 	   1.607435 	   0.216704 
   0.083176 	   1.583129 	   0.211663 
   0.086099 	   1.558874 	   0.207223 
   0.089125 	   1.534559 	   0.203233 
   0.092257 	   1.510010 	   0.199554 
   0.095499 	   1.485050 	   0.196004 
   0.098855 	   1.459504 	   0.192370 
