# pdf: nNNPDF10_nlo_as_0118_Cu64
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.102329 	   1.433189 	   0.188375 
   0.105925 	   1.406099 	   0.183902 
   0.109648 	   1.378461 	   0.179274 
   0.113501 	   1.350513 	   0.174840 
   0.117490 	   1.322490 	   0.170934 
   0.121619 	   1.294508 	   0.167663 
   0.125893 	   1.266375 	   0.164719 
   0.130317 	   1.238014 	   0.162055 
   0.134896 	   1.209357 	   0.159625 
   0.139637 	   1.180344 	   0.157354 
   0.144544 	   1.150975 	   0.155167 
   0.149624 	   1.121279 	   0.153135 
   0.154882 	   1.091279 	   0.151317 
   0.160325 	   1.060943 	   0.149633 
   0.165959 	   1.030254 	   0.148024 
   0.171791 	   0.999273 	   0.146574 
   0.177828 	   0.968022 	   0.145269 
   0.184077 	   0.936450 	   0.143996 
   0.190546 	   0.904618 	   0.142801 
   0.197242 	   0.872539 	   0.141644 
   0.204174 	   0.840186 	   0.140435 
   0.211349 	   0.807657 	   0.139219 
   0.218776 	   0.774926 	   0.137897 
   0.226464 	   0.742049 	   0.136460 
   0.234423 	   0.709101 	   0.134901 
   0.242661 	   0.676069 	   0.133140 
   0.251189 	   0.643072 	   0.131210 
   0.260016 	   0.610099 	   0.129032 
   0.269153 	   0.577263 	   0.126630 
   0.278612 	   0.544568 	   0.123937 
   0.288403 	   0.512156 	   0.121021 
   0.298538 	   0.480055 	   0.117834 
   0.309030 	   0.448381 	   0.114420 
   0.319890 	   0.417184 	   0.110760 
   0.331131 	   0.386572 	   0.106900 
   0.342768 	   0.356618 	   0.102841 
   0.354813 	   0.327391 	   0.098573 
   0.367282 	   0.299005 	   0.094164 
   0.380189 	   0.271536 	   0.089640 
   0.393550 	   0.245067 	   0.085029 
   0.407380 	   0.219683 	   0.080375 
   0.421697 	   0.195462 	   0.075738 
   0.436516 	   0.172476 	   0.071169 
   0.451856 	   0.150797 	   0.066736 
   0.467735 	   0.130495 	   0.062520 
   0.484172 	   0.111612 	   0.058635 
   0.501187 	   0.094187 	   0.055178 
   0.518800 	   0.078277 	   0.052222 
   0.537032 	   0.063884 	   0.049840 
   0.555904 	   0.051017 	   0.048057 
   0.575440 	   0.039671 	   0.046836 
   0.595662 	   0.029809 	   0.046085 
   0.616595 	   0.021399 	   0.045640 
   0.638263 	   0.014373 	   0.045329 
   0.660693 	   0.008650 	   0.044951 
   0.683912 	   0.004152 	   0.044251 
   0.707946 	   0.000759 	   0.043075 
   0.732825 	  -0.001637 	   0.041267 
   0.758578 	  -0.003163 	   0.038711 
   0.785236 	  -0.003953 	   0.035343 
   0.812831 	  -0.004130 	   0.031145 
   0.841395 	  -0.003831 	   0.026173 
   0.870964 	  -0.003181 	   0.020554 
   0.901571 	  -0.002312 	   0.014523 
   0.933254 	  -0.001363 	   0.008484 
   0.966051 	  -0.000498 	   0.003114 
 
