# pdf: NNPDF31_nlo_pch_as_0118
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-6), 10^(0), 1001]
# 	 x 	 gluon(cv) 	 gluon(sd) 
 0.00000100 	 15.59988719 	 32.39263543 
 0.00000101 	 15.55658720 	 32.22873956 
 0.00000103 	 15.51340469 	 32.06545717 
 0.00000104 	 15.47034600 	 31.90284215 
 0.00000106 	 15.42740998 	 31.74088951 
 0.00000107 	 15.38459532 	 31.57959354 
 0.00000109 	 15.34190078 	 31.41894856 
 0.00000110 	 15.29932506 	 31.25894889 
 0.00000112 	 15.25686691 	 31.09958882 
 0.00000113 	 15.21452504 	 30.94086269 
 0.00000115 	 15.17229819 	 30.78276481 
 0.00000116 	 15.13018508 	 30.62528950 
 0.00000118 	 15.08818443 	 30.46843109 
 0.00000120 	 15.04629498 	 30.31218389 
 0.00000121 	 15.00451546 	 30.15654225 
 0.00000123 	 14.96284459 	 30.00150050 
 0.00000125 	 14.92128109 	 29.84705296 
 0.00000126 	 14.87982370 	 29.69319397 
 0.00000128 	 14.83847114 	 29.53991788 
 0.00000130 	 14.79722213 	 29.38721904 
 0.00000132 	 14.75607687 	 29.23509233 
 0.00000134 	 14.71503703 	 29.08354033 
 0.00000136 	 14.67410351 	 28.93256903 
 0.00000137 	 14.63327719 	 28.78218438 
 0.00000139 	 14.59255896 	 28.63239233 
 0.00000141 	 14.55194973 	 28.48319884 
 0.00000143 	 14.51145036 	 28.33460984 
 0.00000145 	 14.47106177 	 28.18663125 
 0.00000147 	 14.43078483 	 28.03926899 
 0.00000149 	 14.39062044 	 27.89252894 
 0.00000151 	 14.35056948 	 27.74641701 
 0.00000153 	 14.31063285 	 27.60093907 
 0.00000156 	 14.27081144 	 27.45610099 
 0.00000158 	 14.23110614 	 27.31190861 
 0.00000160 	 14.19151783 	 27.16836779 
 0.00000162 	 14.15204741 	 27.02548436 
 0.00000164 	 14.11269576 	 26.88326413 
 0.00000167 	 14.07346386 	 26.74171350 
