# pdf: NNPDF31_nlo_pch_as_0118
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 1001]
# 	 x 	 gluon(cv) 	 gluon(sd) 
 0.00100000 	 4.48067506 	 0.52396352 
 0.00100693 	 4.47851901 	 0.52074333 
 0.00101391 	 4.47636128 	 0.51753857 
 0.00102094 	 4.47420156 	 0.51434947 
 0.00102802 	 4.47203951 	 0.51117624 
 0.00103514 	 4.46987629 	 0.50801742 
 0.00104232 	 4.46771952 	 0.50486440 
 0.00104954 	 4.46556984 	 0.50171680 
 0.00105682 	 4.46342667 	 0.49857565 
 0.00106414 	 4.46128944 	 0.49544195 
 0.00107152 	 4.45915758 	 0.49231672 
 0.00107895 	 4.45703050 	 0.48920094 
 0.00108643 	 4.45490764 	 0.48609557 
 0.00109396 	 4.45278842 	 0.48300157 
 0.00110154 	 4.45067227 	 0.47991986 
 0.00110917 	 4.44855860 	 0.47685136 
 0.00111686 	 4.44644685 	 0.47379692 
 0.00112460 	 4.44433643 	 0.47075740 
 0.00113240 	 4.44222679 	 0.46773362 
 0.00114025 	 4.44011733 	 0.46472634 
 0.00114815 	 4.43800748 	 0.46173631 
 0.00115611 	 4.43589668 	 0.45876423 
 0.00116413 	 4.43378434 	 0.45581077 
 0.00117220 	 4.43166988 	 0.45287655 
 0.00118032 	 4.42955275 	 0.44996214 
 0.00118850 	 4.42743235 	 0.44706808 
 0.00119674 	 4.42530812 	 0.44419486 
 0.00120504 	 4.42317947 	 0.44134291 
 0.00121339 	 4.42104584 	 0.43851262 
 0.00122180 	 4.41890665 	 0.43570434 
 0.00123027 	 4.41676133 	 0.43291837 
 0.00123880 	 4.41460929 	 0.43015496 
 0.00124738 	 4.41244997 	 0.42741429 
 0.00125603 	 4.41028279 	 0.42469653 
 0.00126474 	 4.40810717 	 0.42200177 
 0.00127350 	 4.40592254 	 0.41933007 
 0.00128233 	 4.40372833 	 0.41668144 
 0.00129122 	 4.40152396 	 0.41405586 
 0.00130017 	 4.39930885 	 0.41145325 
 0.00130918 	 4.39708243 	 0.40887350 
 0.00131826 	 4.39484412 	 0.40631646 
 0.00132739 	 4.39259537 	 0.40378046 
 0.00133660 	 4.39034110 	 0.40126149 
 0.00134586 	 4.38808154 	 0.39875926 
 0.00135519 	 4.38581665 	 0.39627371 
 0.00136458 	 4.38354636 	 0.39380476 
 0.00137404 	 4.38127065 	 0.39135237 
 0.00138357 	 4.37898947 	 0.38891647 
 0.00139316 	 4.37670276 	 0.38649700 
 0.00140281 	 4.37441049 	 0.38409393 
 0.00141254 	 4.37211261 	 0.38170719 
 0.00142233 	 4.36980907 	 0.37933675 
 0.00143219 	 4.36749984 	 0.37698255 
 0.00144212 	 4.36518486 	 0.37464456 
 0.00145211 	 4.36286409 	 0.37232271 
 0.00146218 	 4.36053748 	 0.37001698 
 0.00147231 	 4.35820499 	 0.36772730 
 0.00148252 	 4.35586658 	 0.36545363 
 0.00149279 	 4.35352219 	 0.36319592 
 0.00150314 	 4.35117179 	 0.36095412 
 0.00151356 	 4.34881533 	 0.35872816 
 0.00152405 	 4.34645276 	 0.35651799 
 0.00153462 	 4.34408404 	 0.35432355 
 0.00154525 	 4.34170912 	 0.35214476 
 0.00155597 	 4.33932796 	 0.34998155 
 0.00156675 	 4.33694052 	 0.34783386 
 0.00157761 	 4.33454674 	 0.34570158 
 0.00158855 	 4.33214658 	 0.34358465 
 0.00159956 	 4.32974001 	 0.34148296 
 0.00161065 	 4.32732696 	 0.33939643 
 0.00162181 	 4.32490740 	 0.33732494 
 0.00163305 	 4.32248129 	 0.33526838 
 0.00164437 	 4.32004857 	 0.33322665 
 0.00165577 	 4.31760920 	 0.33119962 
 0.00166725 	 4.31516314 	 0.32918717 
 0.00167880 	 4.31271034 	 0.32718916 
 0.00169044 	 4.31025076 	 0.32520546 
 0.00170216 	 4.30778370 	 0.32323503 
