# pdf: NNPDF31_nlo_pch_as_0118
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-5), 10^(0), 1001]
# 	 x 	 gluon(cv) 	 gluon(sd) 
 0.00001000 	 9.77606247 	 12.61843538 
 0.00001012 	 9.75256095 	 12.54899762 
 0.00001023 	 9.72903943 	 12.47928367 
 0.00001035 	 9.70549724 	 12.40929915 
 0.00001047 	 9.68193368 	 12.33904971 
 0.00001059 	 9.65834807 	 12.26854097 
 0.00001072 	 9.63473973 	 12.19777854 
 0.00001084 	 9.61110797 	 12.12676801 
 0.00001096 	 9.58745210 	 12.05551499 
 0.00001109 	 9.56377145 	 11.98402506 
 0.00001122 	 9.54006532 	 11.91230387 
 0.00001135 	 9.51633303 	 11.84035711 
 0.00001148 	 9.49257389 	 11.76819057 
 0.00001161 	 9.46878723 	 11.69581019 
 0.00001175 	 9.44497235 	 11.62322210 
 0.00001189 	 9.42112856 	 11.55043268 
 0.00001202 	 9.39725520 	 11.47744865 
 0.00001216 	 9.37328909 	 11.40381140 
 0.00001230 	 9.34915063 	 11.32893323 
 0.00001245 	 9.32486247 	 11.25298448 
 0.00001259 	 9.30044819 	 11.17614218 
 0.00001274 	 9.27593140 	 11.09858248 
 0.00001288 	 9.25133569 	 11.02048026 
 0.00001303 	 9.22668467 	 10.94200868 
 0.00001318 	 9.20200192 	 10.86333891 
 0.00001334 	 9.17731105 	 10.78463976 
 0.00001349 	 9.15263565 	 10.70607749 
 0.00001365 	 9.12799932 	 10.62781558 
 0.00001380 	 9.10342566 	 10.55001456 
 0.00001396 	 9.07893826 	 10.47283201 
 0.00001413 	 9.05456073 	 10.39642249 
 0.00001429 	 9.03031666 	 10.32093761 
 0.00001445 	 9.00622964 	 10.24652620 
 0.00001462 	 8.98232328 	 10.17333449 
 0.00001479 	 8.95862117 	 10.10150647 
 0.00001496 	 8.93514690 	 10.03118424 
 0.00001514 	 8.91192409 	 9.96250855 
 0.00001531 	 8.88897632 	 9.89561939 
 0.00001549 	 8.86632566 	 9.83065020 
 0.00001567 	 8.84396733 	 9.76758629 
 0.00001585 	 8.82187891 	 9.70627711 
 0.00001603 	 8.80003837 	 9.64657047 
 0.00001622 	 8.77842372 	 9.58831619 
 0.00001641 	 8.75701292 	 9.53136561 
 0.00001660 	 8.73578398 	 9.47557116 
 0.00001679 	 8.71471488 	 9.42078597 
 0.00001698 	 8.69378360 	 9.36686351 
 0.00001718 	 8.67296814 	 9.31365728 
 0.00001738 	 8.65224648 	 9.26102055 
 0.00001758 	 8.63159661 	 9.20880614 
 0.00001778 	 8.61099652 	 9.15686629 
 0.00001799 	 8.59042419 	 9.10505251 
 0.00001820 	 8.56985761 	 9.05321553 
 0.00001841 	 8.54927478 	 9.00120536 
 0.00001862 	 8.52865366 	 8.94887126 
 0.00001884 	 8.50797227 	 8.89606196 
 0.00001905 	 8.48720857 	 8.84262578 
 0.00001928 	 8.46634057 	 8.78841091 
 0.00001950 	 8.44534624 	 8.73326573 
 0.00001972 	 8.42420358 	 8.67703920 
 0.00001995 	 8.40305581 	 8.62057016 
 0.00002018 	 8.38208392 	 8.56494660 
 0.00002042 	 8.36125794 	 8.51000829 
 0.00002065 	 8.34054722 	 8.45559162 
 0.00002089 	 8.31992110 	 8.40153339 
 0.00002113 	 8.29934892 	 8.34767055 
 0.00002138 	 8.27880002 	 8.29384000 
 0.00002163 	 8.25824375 	 8.23987855 
 0.00002188 	 8.23764945 	 8.18562283 
 0.00002213 	 8.21698647 	 8.13090941 
 0.00002239 	 8.19622414 	 8.07557495 
 0.00002265 	 8.17533181 	 8.01945647 
 0.00002291 	 8.15427882 	 7.96239166 
