# pdf: nNNPDF10_nlo_as_0118_Ca40
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.001000 	   2.779299 	   7.169214 
   0.001035 	   2.792315 	   7.004250 
   0.001072 	   2.804615 	   6.842865 
   0.001109 	   2.816247 	   6.684878 
   0.001148 	   2.827258 	   6.530115 
   0.001189 	   2.837697 	   6.378403 
   0.001230 	   2.847611 	   6.229574 
   0.001274 	   2.857049 	   6.083463 
   0.001318 	   2.866059 	   5.939908 
   0.001365 	   2.874688 	   5.798751 
   0.001413 	   2.882936 	   5.659994 
   0.001462 	   2.890626 	   5.524212 
   0.001514 	   2.897763 	   5.391358 
   0.001567 	   2.904383 	   5.261299 
   0.001622 	   2.910517 	   5.133903 
   0.001679 	   2.916200 	   5.009043 
   0.001738 	   2.921465 	   4.886593 
   0.001799 	   2.926346 	   4.766430 
   0.001862 	   2.930876 	   4.648433 
   0.001928 	   2.935089 	   4.532483 
   0.001995 	   2.939018 	   4.418463 
   0.002065 	   2.942634 	   4.306492 
   0.002138 	   2.945834 	   4.196942 
   0.002213 	   2.948635 	   4.089730 
   0.002291 	   2.951056 	   3.984761 
   0.002371 	   2.953117 	   3.881940 
   0.002455 	   2.954838 	   3.781174 
   0.002541 	   2.956240 	   3.682372 
   0.002630 	   2.957343 	   3.585446 
   0.002723 	   2.958166 	   3.490306 
   0.002818 	   2.958729 	   3.396868 
   0.002917 	   2.959053 	   3.305048 
   0.003020 	   2.959103 	   3.215046 
   0.003126 	   2.958840 	   3.127048 
   0.003236 	   2.958272 	   3.040985 
   0.003350 	   2.957408 	   2.956788 
   0.003467 	   2.956255 	   2.874391 
   0.003589 	   2.954823 	   2.793729 
   0.003715 	   2.953118 	   2.714737 
   0.003846 	   2.951150 	   2.637353 
   0.003981 	   2.948927 	   2.561515 
   0.004121 	   2.946456 	   2.487164 
   0.004266 	   2.943746 	   2.414252 
   0.004416 	   2.940780 	   2.343001 
   0.004571 	   2.937552 	   2.273475 
   0.004732 	   2.934060 	   2.205629 
   0.004898 	   2.930307 	   2.139416 
   0.005070 	   2.926291 	   2.074794 
   0.005248 	   2.922013 	   2.011720 
   0.005433 	   2.917474 	   1.950153 
   0.005623 	   2.912674 	   1.890051 
   0.005821 	   2.907613 	   1.831375 
   0.006026 	   2.902292 	   1.774088 
   0.006237 	   2.896711 	   1.718185 
   0.006457 	   2.890877 	   1.663852 
   0.006683 	   2.884787 	   1.611101 
   0.006918 	   2.878440 	   1.559907 
   0.007161 	   2.871832 	   1.510242 
   0.007413 	   2.864961 	   1.462083 
   0.007674 	   2.857822 	   1.415404 
   0.007943 	   2.850414 	   1.370181 
   0.008222 	   2.842734 	   1.326392 
   0.008511 	   2.834778 	   1.284013 
   0.008810 	   2.826544 	   1.243022 
   0.009120 	   2.818033 	   1.203448 
   0.009441 	   2.809260 	   1.165422 
   0.009772 	   2.800221 	   1.128935 
   0.010116 	   2.790913 	   1.093969 
   0.010471 	   2.781333 	   1.060504 
   0.010839 	   2.771478 	   1.028519 
   0.011220 	   2.761345 	   0.997991 
   0.011614 	   2.750929 	   0.968895 
   0.012023 	   2.740229 	   0.941202 
   0.012445 	   2.729241 	   0.914883 
   0.012882 	   2.717962 	   0.889903 
   0.013335 	   2.706398 	   0.866295 
   0.013804 	   2.694561 	   0.844112 
   0.014289 	   2.682447 	   0.823313 
   0.014791 	   2.670052 	   0.803851 
   0.015311 	   2.657373 	   0.785675 
   0.015849 	   2.644406 	   0.768726 
   0.016406 	   2.631147 	   0.752945 
   0.016982 	   2.617592 	   0.738262 
   0.017579 	   2.603738 	   0.724609 
   0.018197 	   2.589580 	   0.711910 
   0.018836 	   2.575117 	   0.700088 
   0.019498 	   2.560368 	   0.689145 
   0.020184 	   2.545340 	   0.679046 
   0.020893 	   2.530027 	   0.669710 
   0.021627 	   2.514420 	   0.661053 
   0.022387 	   2.498512 	   0.652993 
   0.023174 	   2.482297 	   0.645445 
   0.023988 	   2.465765 	   0.638327 
   0.024831 	   2.448911 	   0.631556 
   0.025704 	   2.431726 	   0.625053 
   0.026607 	   2.414202 	   0.618739 
   0.027542 	   2.396339 	   0.612542 
   0.028510 	   2.378184 	   0.606428 
   0.029512 	   2.359737 	   0.600349 
   0.030549 	   2.340986 	   0.594259 
   0.031623 	   2.321913 	   0.588113 
   0.032734 	   2.302506 	   0.581870 
   0.033884 	   2.282750 	   0.575493 
   0.035075 	   2.262629 	   0.568944 
   0.036308 	   2.242129 	   0.562193 
   0.037584 	   2.221237 	   0.555207 
   0.038905 	   2.199936 	   0.547959 
   0.040272 	   2.178228 	   0.540398 
   0.041687 	   2.156160 	   0.532423 
   0.043152 	   2.133732 	   0.524046 
   0.044668 	   2.110937 	   0.515290 
   0.046238 	   2.087765 	   0.506175 
   0.047863 	   2.064209 	   0.496719 
   0.049545 	   2.040262 	   0.486938 
   0.051286 	   2.015915 	   0.476842 
   0.053088 	   1.991162 	   0.466435 
   0.054954 	   1.965993 	   0.455720 
   0.056885 	   1.940402 	   0.444695 
   0.058884 	   1.914314 	   0.433181 
   0.060954 	   1.887641 	   0.420924 
   0.063096 	   1.860446 	   0.408051 
   0.065313 	   1.832797 	   0.394703 
   0.067608 	   1.804759 	   0.381031 
   0.069984 	   1.776400 	   0.367186 
   0.072444 	   1.747787 	   0.353325 
   0.074989 	   1.718986 	   0.339608 
   0.077625 	   1.690065 	   0.326194 
   0.080353 	   1.661090 	   0.313243 
   0.083176 	   1.632127 	   0.300910 
   0.086099 	   1.602917 	   0.288939 
   0.089125 	   1.573295 	   0.277162 
   0.092257 	   1.543375 	   0.265693 
   0.095499 	   1.513271 	   0.254542 
   0.098855 	   1.483098 	   0.243599 
   0.102329 	   1.452875 	   0.232561 
   0.105925 	   1.422417 	   0.221218 
   0.109648 	   1.391830 	   0.210038 
   0.113501 	   1.361240 	   0.199544 
   0.117490 	   1.330777 	   0.190230 
   0.121619 	   1.300511 	   0.182285 
   0.125893 	   1.270356 	   0.175430 
   0.130317 	   1.240273 	   0.169695 
   0.134896 	   1.210226 	   0.165070 
   0.139637 	   1.180203 	   0.161469 
   0.144544 	   1.150254 	   0.158822 
   0.149624 	   1.120317 	   0.157227 
   0.154882 	   1.090320 	   0.156697 
   0.160325 	   1.060274 	   0.157037 
   0.165959 	   1.030187 	   0.158115 
   0.171791 	   0.999960 	   0.159905 
   0.177828 	   0.969540 	   0.162237 
   0.184077 	   0.938959 	   0.164881 
   0.190546 	   0.908134 	   0.167745 
   0.197242 	   0.877008 	   0.170653 
   0.204174 	   0.845594 	   0.173444 
   0.211349 	   0.813871 	   0.176066 
   0.218776 	   0.781796 	   0.178384 
   0.226464 	   0.749416 	   0.180375 
   0.234423 	   0.716761 	   0.182027 
   0.242661 	   0.683821 	   0.183308 
   0.251189 	   0.650732 	   0.184221 
   0.260016 	   0.617468 	   0.184735 
   0.269153 	   0.584206 	   0.184646 
   0.278612 	   0.550944 	   0.183810 
   0.288403 	   0.517911 	   0.181871 
   0.298538 	   0.485138 	   0.178571 
   0.309030 	   0.452796 	   0.173606 
   0.319890 	   0.420934 	   0.166932 
   0.331131 	   0.389673 	   0.158725 
   0.342768 	   0.359076 	   0.149317 
   0.354813 	   0.329206 	   0.139009 
   0.367282 	   0.300149 	   0.128495 
   0.380189 	   0.271970 	   0.118147 
   0.393550 	   0.244738 	   0.108272 
   0.407380 	   0.218536 	   0.099104 
   0.421697 	   0.193461 	   0.090758 
   0.436516 	   0.169606 	   0.083252 
   0.451856 	   0.147069 	   0.076553 
   0.467735 	   0.125952 	   0.070612 
   0.484172 	   0.106313 	   0.065438 
   0.501187 	   0.088198 	   0.061069 
   0.518800 	   0.071659 	   0.057572 
   0.537032 	   0.056690 	   0.055107 
   0.555904 	   0.043289 	   0.053791 
   0.575440 	   0.031444 	   0.053616 
   0.595662 	   0.021114 	   0.054408 
   0.616595 	   0.012284 	   0.055856 
   0.638263 	   0.004871 	   0.057470 
   0.660693 	  -0.001191 	   0.058827 
   0.683912 	  -0.005895 	   0.059652 
   0.707946 	  -0.009376 	   0.059579 
   0.732825 	  -0.011722 	   0.058432 
   0.758578 	  -0.013040 	   0.056139 
   0.785236 	  -0.013449 	   0.052740 
   0.812831 	  -0.013063 	   0.048353 
   0.841395 	  -0.012008 	   0.043174 
   0.870964 	  -0.010401 	   0.037379 
   0.901571 	  -0.008354 	   0.031055 
   0.933254 	  -0.005950 	   0.024070 
   0.966051 	  -0.003213 	   0.015862 
 
