# pdf: nNNPDF10_nlo_as_0118_C12
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.160325 	   0.969460 	   0.089702 
   0.165959 	   0.936674 	   0.089590 
   0.171791 	   0.904049 	   0.089692 
   0.177828 	   0.871611 	   0.089979 
   0.184077 	   0.839356 	   0.090401 
   0.190546 	   0.807303 	   0.090956 
   0.197242 	   0.775465 	   0.091598 
   0.204174 	   0.743852 	   0.092283 
   0.211349 	   0.712486 	   0.093004 
   0.218776 	   0.681377 	   0.093694 
   0.226464 	   0.650546 	   0.094335 
   0.234423 	   0.620016 	   0.094896 
   0.242661 	   0.589803 	   0.095322 
   0.251189 	   0.559939 	   0.095604 
   0.260016 	   0.530441 	   0.095677 
   0.269153 	   0.501343 	   0.095523 
   0.278612 	   0.472665 	   0.095073 
   0.288403 	   0.444458 	   0.094340 
   0.298538 	   0.416749 	   0.093262 
   0.309030 	   0.389585 	   0.091827 
   0.319890 	   0.362998 	   0.089990 
   0.331131 	   0.337034 	   0.087749 
   0.342768 	   0.311731 	   0.085072 
   0.354813 	   0.287126 	   0.081919 
   0.367282 	   0.263267 	   0.078332 
   0.380189 	   0.240191 	   0.074323 
   0.393550 	   0.217940 	   0.069917 
   0.407380 	   0.196552 	   0.065167 
   0.421697 	   0.176069 	   0.060154 
   0.436516 	   0.156530 	   0.054968 
   0.451856 	   0.137978 	   0.049726 
   0.467735 	   0.120462 	   0.044588 
   0.484172 	   0.104015 	   0.039772 
   0.501187 	   0.088680 	   0.035515 
   0.518800 	   0.074513 	   0.032071 
   0.537032 	   0.061540 	   0.029685 
   0.555904 	   0.049798 	   0.028484 
   0.575440 	   0.039315 	   0.028390 
   0.595662 	   0.030094 	   0.029127 
   0.616595 	   0.022141 	   0.030309 
   0.638263 	   0.015430 	   0.031580 
   0.660693 	   0.009913 	   0.032637 
   0.683912 	   0.005540 	   0.033205 
   0.707946 	   0.002213 	   0.033146 
   0.732825 	  -0.000165 	   0.032350 
   0.758578 	  -0.001716 	   0.030756 
   0.785236 	  -0.002572 	   0.028350 
   0.812831 	  -0.002862 	   0.025155 
   0.841395 	  -0.002724 	   0.021247 
   0.870964 	  -0.002282 	   0.016751 
   0.901571 	  -0.001659 	   0.011874 
   0.933254 	  -0.000974 	   0.006956 
   0.966051 	  -0.000353 	   0.002560 
 
